"repo","commit","insertion","deletion"
"ANOM","42","6038","1991"
"anomalize","48","10868","739"
"anonymizer","97","12859","1345"
"antaresProcessing","391","17490","8748"
"antaresRead","766","4550430","2279384"
"antaresViz","829","62972","42427"
"antiword","34","43827","139"
"aoos","200","35534","27721"
"apa","37","3937","145"
"ApacheLogProcessor","10","1562","161"
"apaTables","173","22601","5526"
"apcf","25","9227","613"
"apcluster","13","12658","372"
"apex","215","12696","6941"
"aphid","204","35742","20854"
"aplore3","94","23662","2493"
"aprean3","36","19248","4214"
"aprof","165","21585","6288"
"aqp",NA,NA,NA
"arc","63","11053","9008"
"archiDART","27","10931","452"
"archivist","1251","30277398","1788759"
"archivist.github","82","3531","1199"
"areal","220","24574","4729"
"arena2r","39","22184","17109"
"ArfimaMLM","25","4449","1072"
"argon2","69","6489","1185"
"argonDash","39","37114","1566"
"argonR","69","116367","4748"
"argparse","91","3286","1283"
"ArgumentCheck","39","2606","1514"
"ari","18","1344","207"
"aricode","33","2113","510"
"arkdb","110","11998","4226"
"aroma.apd","52","9414","3139"
"aroma.cn","253","44890","20462"
"aroma.core","623","158099","102540"
"aRpsDCA","75","5058","799"
"arrangements","146","34798","12929"
"ARTool","145","10115","3954"
"ARTP2","114","61086","14948"
"arules","213","53995","26893"
"arulesCBA","256","18786","4798"
"arulesViz","93","84059","24747"
"aRxiv","272","7090","3193"
"asciiSetupReader","158","137829","99560"
"asdreader","46","899","131"
"askpass","38","711","141"
"aslib","520","297879","39252"
"aSPU","364","22497","7184"
"assertr","186","12639","6566"
"assignPOP","178","29346","14811"
"ASSISTant","40","34861","13742"
"astsa","377","8298","1131"
"asus","20","1090","63"
"atlantistools","1685","116333","79153"
"atsd","31","11441","1490"
"auditor","234","31024","8031"
"augmentedRCBD","103","23314","4987"
"auk","132","138428","81172"
"aurelius","194","488416","54805"
"autocogs","117","6550","2632"
"AutoDeskR","96","25966","11475"
"automagic","54","1309","690"
"automl","15","8008","1552"
"AutoModel","22","12230","8932"
"autoplotly","51","1306","430"
"autoshiny","6","2225","264"
"autothresholdr","126","31362","3569"
"av","140","4121","2221"
"aVirtualTwins","87","6963","2522"
"AWR.Kinesis","46","1518","246"
"AWR.KMS","31","1359","179"
"aws.cloudtrail","30","1829","659"
"aws.comprehend","30","1123","235"
"aws.ec2metadata","20","708","119"
"aws.iam","40","4616","1196"
"aws.kms","7","1705","207"
"aws.lambda","20","1842","431"
"aws.polly","22","1075","270"
"aws.s3","298","11918","6074"
"aws.ses","25","1499","504"
"aws.signature","102","3940","1562"
"aws.sns","35","2843","1271"
"aws.sqs","44","3025","1235"
"aws.transcribe","11","989","159"
"aws.translate","12","732","174"
"awsjavasdk","31","799","66"
"awspack","35","597","269"
"AzureContainers","79","5958","1502"
"AzureML","419","23819","11544"
"AzureRMR","262","10140","5386"
"AzureStor","167","9835","2768"
"AzureVM","78","6257","1793"
"backblazer","38","2804","523"
"backpipe","25","1192","424"
"backports","95","2556","767"
"backShift","83","6125","2295"
"badgecreatr","131","16201","5162"
"badger","38","1729","518"
"balance","56","2727","523"
"Ball","197","38800","12183"
"bamboo","36","4452","864"
"BaMORC","68","17532","3322"
"bamp","121","28713","12977"
"BANEScarparkinglite","100","2789","1203"
"bang","192","7837","1646"
"banR","107","9236","1736"
"baRcodeR","296","6941","3309"
"Barnard","8","1168","184"
"BAS","796","121844","29659"
"base2grob","13","1004","421"
"base64url","40","1428","298"
"basictabler","75","14708","2152"
"basicTrendline","1","1992","0"
"BatchExperiments",NA,NA,NA
"BatchJobs",NA,NA,NA
"BatchMap","64","48667","33939"
"batchtools","871","88866","53377"
"batman","16","671","257"
"bayesAB","312","18872","7863"
"bayesboot","60","2373","854"
"BayesCombo","101","175458","29954"
"bayesCT","401","19931","3890"
"BayesCTDesign","16","17667","2766"
"bayesDP","491","69204","48465"
"BayesFactor","730","64394","31086"
"bayesGARCH","20","2089","421"
"BayesianNetwork","125","32263","23415"
"BayesianTools","370","42945","5642"
"bayesImageS","15","69398","1170"
"BayesMallows","518","73985","53504"
"BayesMAMS","9","675","348"
"BayesNetBP","36","22138","2877"
"BayesVarSel","66","24444","7291"
"bayfoxr","37","62063","30156"
"baytrends","121","2688358","2415629"
"bazar","18","3525","192"
"BBI","31","18524","9024"
"BBmisc","509","17689","7271"
"bbw","195","26695","3122"
"bcaboot","17","12022","3883"
"Bchron","154","57167","5903"
"Bclim","49","17858","8748"
"bcmaps","515","15405","3573"
"bcrypt","37","2627","105"
"bdscale","82","1470","564"
"BEDMatrix","303","30383","27845"
"beezdemand","251","12399","4774"
"beginr","18","3124","602"
"behavr","677","5439","2346"
"belg","100","5608","1149"
"bench","129","4547","1328"
"benchmarkme","344","7034","3493"
"benchmarkmeData","118","2244","982"
"benford.analysis","76","3569","1036"
"Bergm","26","11185","5970"
"berryFunctions","752","56090","19975"
"bestNormalize","81","10143","2940"
"betaboost","110","2151","546"
"betas","21","581","116"
"BETS","146","36418","21719"
"bfsl","12","1272","451"
"bfw","16","19053","9379"
"BGData","911","25922","16902"
"bibtex","158","28994","9458"
"BIFIEsurvey","24","33146","17046"
"BIGDAWG","208","14807","7405"
"bigIntegerAlgos","85","12401","2004"
"bigKRLS","478","28030","11676"
"BIGL","59","7825","839"
"biglasso","211","13943","5797"
"bigmemory","280","25776","8262"
"bigml","26","1791","527"
"bigreadr","58","6727","573"
"bigrquery","494","27035","16475"
"bigstatsr","751","118610","54325"
"bigstep","11","3830","18"
"bigtime","58","4947","484"
"BigVAR","73","48311","22257"
"bikedata","582","260627","24713"
"billboard","3","367","7"
"billboarder","134","61103","24892"
"binaryLogic","268","7428","4147"
"binb","51","5209","351"
"bindr","112","1138","305"
"bindrcpp","158","2900","1097"
"binford","14","10237","33"
"binman","121","14427","1761"
"binr","28","2174","285"
"binst","56","1492","179"
"BioCircos","63","50343","25890"
"biogram","391","562739","7561"
"bioimagetools","229","58975","36559"
"BioInstaller","239","186266","16383"
"biomartr","1915","77286","24774"
"BIOMASS","431","375173","40649"
"bioRad","1031","616025","555110"
"bioset","102","8805","5016"
"biotic","77","4266","1438"
"bipartite","111","76241","35528"
"bisect","28","3985","1742"
"bisectr","21","928","175"
"biwavelet","362","16392","9182"
"bizdays","283","10741","5111"
"bjscrapeR","38","660","198"
"bkmr","268","11511","3942"
"blandr","110","161543","2699"
"blastula","283","8467","2232"
"blme","30","13576","725"
"blob","110","1872","426"
"blockseg","10","2760","316"
"blogdown","773","11530","3252"
"blorr","435","86273","28345"
"blscrapeR","329","23951","7527"
"bmlm","185","51619","34620"
"BMRBr","32","782","300"
"BMTME","266","17799","11968"
"bnclassify","815","30781","16467"
"BNDataGenerator","101","58020","16297"
"bnpsd","39","3442","869"
"bnspatial","133","10069","1465"
"boilerpipeR","29","459992","457707"
"bold","234","61188","5029"
"bomrang","1330","321641","85786"
"bookdown","1322","46952","18251"
"bookdownplus","95","64075","57955"
"boxr","497","27983","9293"
"bpa","66","1884","897"
"bpbounds","63","9580","3037"
"bpnreg","90","12047","2745"
"BradleyTerry2","151","24074","9622"
"BradleyTerryScalable","322","16714","6304"
"BrailleR","317","21150","5828"
"brainGraph","295","35346","20674"
"brandwatchR","30","7352","4639"
"brazilmaps","15","903","83"
"breakDown","96","9733","2419"
"breakpoint","14","2","1"
"breathtestcore","224","39243","18183"
"bReeze","195","18796","4750"
"brglm2","292","15474","6471"
"bridgedist","34","824","202"
"bridgesampling","299","28442","18707"
"BRISC","107","12362","343"
"brms","3464","183318","115817"
"Brobdingnag","13","3110","65"
"broman","274","15949","7068"
"broom.mixed","233","10629","4202"
"brotli","974","256822","175030"
"brranching","115","10149","2062"
"bs4Dash","130","77391","26198"
"bsam","173","6495","3919"
"bsearchtools","49","37518","484"
"bsplus","188","44103","30792"
"btergm","139","12077","5949"
"BTYDplus","301","38374","29070"
"bucky","21","1900","127"
"bulletr","116","5819","1886"
"bunchr","79","5608","1102"
"bundesligR","6","216","6"
"burnr","340","19703","8980"
"busdater","42","5004","612"
"BuyseTest","235","87240","59362"
"BWStest","65","6742","2544"
"c14bazAAR","478","15214","6749"
"c2c","59","2061","842"
"c3","133","11732","4803"
"C50","58","49211","19896"
"caesar","4","1747","27"
"caffsim","51","51478","45100"
"CAISEr","70","51942","5086"
"calibrar","103","9169","3963"
"callr","266","25481","13308"
"calmate",NA,NA,NA
"calpassapi","11","1037","29"
"camsRad","83","1843","734"
"cancensus","313","49175","7367"
"Canopy","331","12158","4617"
"canprot","52","42378","1453"
"cansim","163","17449","6057"
"canvasXpress","334","89106","38670"
"capm","309","269291","37888"
"captioner","294","2936","1531"
"captr","118","59564","2621"
"caRamel","20","5239","1939"
"CARBayes","9","21573","551"
"CARBayesST","5","36287","8143"
"carbonate","115","12307","3840"
"careless","92","4568","1814"
"caret","1793","594537","135088"
"caretEnsemble","504","18695","11272"
"carpenter","66","10764","1690"
"carrier","34","1251","400"
"cartogram","89","3135","1740"
"cartography","451","100994","44552"
"CascadeData","17","2672","160"
"casino","76","9762","1206"
"CAST","68","3162","885"
"catcont","20","1235","243"
"catmap","36","7245","4162"
"cattonum","120","4538","2352"
"CausalFX","16","4366","183"
"CausalImpact","58","7987","2723"
"cbar","50","7770","1255"
"CBDA","245","931879","5572"
"cbsodataR","120","4155","1326"
"ccafs","61","8637","1799"
"ccdrAlgorithm","326","13040","6403"
"cdata","322","42934","20900"
"cdcsis","32","6909","2084"
"CDM","53","66147","30824"
"cdom","92","2024","845"
"CEC","234","48845","24838"
"cec2005benchmark","38","11612","1122"
"ceg","9","10205","5747"
"cellranger","143","7069","3379"
"censusapi","142","13587","5610"
"censusr","80","1637","578"
"censys","17","4861","448"
"CePa","4","41188","1555"
"cepR","10","734","41"
"cepreader","102","1640","512"
"CerioliOutlierDetection","66","2287","718"
"ceterisParibus","122","24989","3043"
"cgdsr","20","2341","622"
"CGPfunctions","351","26769","5943"
"ChainLadder","797","228636","32093"
"chandwich","329","10447","2687"
"changepoint","57","11769","2559"
"changer","21","450","70"
"charlatan","191","57013","12207"
"chebpol","113","545196","529401"
"CheckDigit","15","509","55"
"checkLuhn","35","1241","60"
"checkmate","775","152070","83493"
"checkpoint","852","33385","16396"
"checkr","159","41519","19986"
"cheddar","295","31764","8367"
"chemmodlab","43","39454","23565"
"ChemometricsWithR","15","9055","4894"
"ChemoSpec","170","229522","195960"
"ChemoSpec2D","42","7819","3252"
"ChemoSpecUtils","20","5011","1384"
"chi","10","654","54"
"childesr","81","18618","5174"
"chinese.misc","40","3159","1375"
"chipPCR","546","30928","16673"
"CHMM","6","1731","2"
"cholera","1871","116590","74074"
"CholWishart","144","4739","2116"
"chorrrds","31","3060567","1827947"
"chunked","106","3168","783"
"cimir","35","1863","287"
"CIplot","35","4237","1302"
"circglmbayes","135","7755","2283"
"circlize","724","2855918","2836278"
"circumplex","579","70978","24751"
"cIRT","19","6545","2265"
"ciTools","288","24935","12495"
"citr","89","3279","1056"
"civis","181","233836","156105"
"ckanr","333","15978","5828"
"clarifai","108","59303","52834"
"classifierplots","45","3073","1087"
"classiFunc","142","5328","1592"
"classInt","27","4630","315"
"cld2","35","905603","778423"
"cld3","31","73707","148"
"cleandata","4","1265","155"
"cleanEHR","523","62314","14759"
"cleangeo","97","2992","902"
"cleanNLP","117","20254","9518"
"cleanr","188","13104","12993"
"cli","182","8824","5007"
"cliapp","62","6481","2001"
"clifro","207","25154","9032"
"climwin","461","35243","17995"
"clipr","336","3776","1974"
"clisymbols","38","1090","401"
"clubSandwich","479","88247","28812"
"clust.bin.pair","146","4513","2274"
"Cluster.OBeu","172","27442","5376"
"ClusterBootstrap","179","2156","751"
"clusteredinterference","43","12129","4485"
"clustermq","610","10367","6000"
"clusternomics","30","2963","67"
"ClusterR","71","31062","14595"
"clustRcompaR","59","4480","953"
"clustree","182","17528","12783"
"cmaesr","118","3118","1150"
"cmna","58","7887","975"
"cmrutils","7","38620","72"
"cmvnorm","18","1596","34"
"cNORM","348","18353","5707"
"coala","653","35728","20791"
"coalitions","352","39177","21700"
"cobalt","584","78076","52671"
"cocktailApp","46","176231","56808"
"cocorresp","231","21712","14521"
"codebook","157","217072","122103"
"CodeDepends","109","11912","1472"
"codemetar","366","86636","14356"
"codified","55","14122","8058"
"codyn","913","36895","17943"
"coenocliner","252","10142","1733"
"cofeatureR","80","1917","453"
"coga","88","43091","1364"
"cointmonitoR","11","1833","95"
"cointReg","28","3914","243"
"colf","21","2686","963"
"collapsibleTree","99","16893","11772"
"collateral","32","12416","1084"
"collections","41","7982","1941"
"CollessLike","8","15845302","581"
"colormap","26","15749","12107"
"colourpicker","84","7136","2158"
"colt","44","1568","714"
"combiter","76","3785","1035"
"commonmark","125","137652","105980"
"comorbidity","133","13665","4005"
"CompareCausalNetworks","99","12989","4642"
"comparer","109","4317","789"
"comperank","121","22637","9140"
"comperes","72","19964","4693"
"compete","62","10594","4334"
"CompGLM","15","2707","1408"
"COMPoissonReg","93","7684","4455"
"comtradr","242","11418","5215"
"concaveman","40","2393","160"
"concurve","107","20947","6224"
"condformat","216","9278","5665"
"CondIndTests","44","5463","1559"
"condir","265","8455","5804"
"conditions","33","3481","1613"
"condusco","3","1241","8"
"condvis","783","23008","11745"
"config","58","1709","456"
"ConfigParser","15","1170","115"
"configr","38","5585","1265"
"confinterpret","94","6652","951"
"conflicted","136","2877","1489"
"CongreveLamsdell2016","175","1592908","30621"
"ConnMatTools","91","8520","2920"
"ConR","69","6657","1268"
"constants","26","996","125"
"constellation","93","6632","1637"
"container","46","5044","1931"
"contextual","617","6092241","6029882"
"contfrac","16","990","26"
"ContourFunctions","101","5775","2813"
"convertGraph","6","412","34"
"convexjlr","165","19960","6294"
"convey","154","92114","66118"
"convoSPAT","41","8584","3323"
"coop","315","18304","8073"
"CoordinateCleaner","617","477087","96870"
"coppeCosenzaR","26","7641","2516"
"copulaedas","192","10438","5912"
"coRanking","74","4209","864"
"Corbi","185","74982","6132"
"coreCT","175","4224","1499"
"coroICA","9","2744","215"
"CoRpower","111","20561","12895"
"corpus","1175","587058","38406"
"corpustools","120","36193","23330"
"corrgram","51","9526","5058"
"corrplot","337","7097","3077"
"cosinor","17","1869","295"
"cosinor2","18","3779","6"
"CosW","17","1138","725"
"countfitteR","234","114876","24200"
"countrycode","255","45759","9451"
"countytimezones","77","2100","598"
"covafillr","149","50240","1959"
"coveffectsplot","58","5466","3240"
"covequal","18","366","85"
"covfefe","20","683","32"
"covr","952","28079","17243"
"cowplot","313","41828","11333"
"cowsay","331","27138","6959"
"coxed","33","5772","372"
"coxinterval","96","9164","5454"
"coxphSGD","127","200961","81316"
"coxrt","41","6761","1638"
"CPBayes","57","7216","1774"
"cpca","157","10298","2151"
"cpgen","277","36783","4868"
"cplm","12","13478","1312"
"cpr","336","20546","12111"
"cprr","33","1075","452"
"cptcity","42","42122","1384"
"cptec","7","1385","126"
"cr17","51","11038","4196"
"cranlike","70","1897","368"
"cranlogs","40","1221","501"
"cranly","170","60228","56416"
"CRANsearcher","99","792","206"
"crantastic","1109","188353","26311"
"crayon","222","5250","1502"
"CREAM","80","5675","2093"
"credule","14","3448","763"
"cregg","110","15618","5073"
"cRegulome","127","9950","6175"
"CRF","287","36385","21016"
"cricketr","67","15975","3041"
"crimedata","22","1662","393"
"crminer","87","4971","1592"
"crmPack","405","415482","179418"
"crochet","113","8508","6248"
"cronR","49","2299","483"
"cropdatape","42","7643","4523"
"Crossover","801","57733","22366"
"crossrun","36","2336","883"
"crosstalk","137","218843","88716"
"crosswalkr","36","6737","958"
"crplyr","120","144771","64120"
"crs","1040","210674","100711"
"crseEventStudy","23","1956","721"
"crul","301","40472","15578"
"crunch","3666","335886","210623"
"crunchy","91","11359","1193"
"crypto","77","662700","660513"
"csvread","48","5146","1723"
"csvy","36","4145","852"
"ctmm","435","57704","37043"
"CTRE","138","29242","11193"
"ctsem","476","107306","57962"
"cubature","87","1845007","1600797"
"cubfits","169","56489","25791"
"Cubist","54","39035","13533"
"CUFF","55","3522","1095"
"cultevo","56","29152","17958"
"curl","845","21279","11563"
"curry","14","1607","216"
"curstatCI","67","12185","6109"
"customLayout","147","15621","2746"
"customsteps","19","6033","900"
"cutpointr","239","26430","12026"
"cvar","42","6567","580"
"cvAUC","8","1248","243"
"cvequality","44","3224","363"
"CVglasso","41","9372","7347"
"CVXR","423","191306","95615"
"cxhull","27","30018","1210"
"cxxfunplus","12","926","350"
"cyclocomp","48","1969","521"
"Cyclops","1075","295704","97002"
"cystiSim","83","2360","551"
"cytofan","27","696","63"
"cytominer","425","113297","20221"
"d3heatmap","157","31975","16887"
"d3Network","105","6907","2567"
"d3r","140","33599","20013"
"d3Tree","93","52814","30722"
"daff","197","23119","8359"
"dagitty","118","61447","12753"
"DALEX","145","14638","4439"
"DALEX2","34","4521","190"
"damr","678","17684","2355"
"dams","25","3918","1180"
"DAP","58","2853","1510"
"dapr","47","6016","1180"
"Dark","217","29044","2524"
"darksky","34","2493","1091"
"data.world","40","15934","5409"
"data360r","63","1253","326"
"DatabaseConnector","298","35484","12911"
"DatabaseConnectorJars","18","537","138"
"datacheck","34","12454","6565"
"dataCompareR","129","11434","642"
"datadigest","138","24806","12614"
"datadogr","73","3191","393"
"DataExplorer","176","60482","5432"
"datafsm","224","16996","9379"
"dataMaid","465","243767","26997"
"dataMeta","24","5337","1868"
"dataonderivatives","223","5842","1946"
"dataone","1027","198494","27554"
"DataPackageR","372","49066","26365"
"datapasta","239","5282","1840"
"datasauRus","90","25855","3600"
"datastructures","141","33995","12986"
"datasus","14","15406","3503"
"dataverse","95","10281","5466"
"dataview","30","2677","1585"
"datoramar","15","669","280"
"datr","55","4028","983"
"daymetr","386","18840","4409"
"dbarts","230","72700","30472"
"DBHC","32","1709","139"
"dbhydroR","194","12987","6990"
"DBI","1050","175339","102771"
"dbmss","94","72696","4138"
"dbparser","82","35660","6412"
"dbplot","86","4722","2714"
"dbplyr","3022","91227","67811"
"dbx","416","9454","6214"
"dcGOR","77","27570","6743"
"dChipIO","41","3162","1034"
"dcmodify","40","914","162"
"dcurver","37","5694","3915"
"DDoutlier","12","1636","132"
"ddpcr","321","213131","109910"
"deBInfer","433","28824","9400"
"debugme","52","1729","315"
"debugr","2","1815","0"
"decido","62","8624","3186"
"deckgl","369","25059","3558"
"DeclareDesign","1146","87464","39040"
"decompr","325","8683","4005"
"deconvolveR","18","5711","757"
"deducorrect",NA,NA,NA
"deductive","45","1388","242"
"deepboost","109","185261","182634"
"deflateBR","22","4071","2590"
"deisotoper","1047","56634","38225"
"deltar","3","1623","149"
"demography","66","8770","3241"
"dendroTools","98","17350","7608"
"densratio","36","2393","952"
"DEploid","169","21488","4225"
"dequer","108","5007","2176"
"desc","230","10682","1499"
"descr","77","6349","2258"
"DescribeDisplay","154","125458","121486"
"describer","34","4368","532"
"DescriptiveStats.OBeu","267","42570","6886"
"descriptr","372","67262","31948"
"desctable","320","21244","9386"
"DesignLibrary","1083","44529","22590"
"desiR","20","2218","529"
"desirability","12","5320","876"
"DESnowball","31","5722","952"
"desplot","34","3972","1318"
"detect","1238","103217","56958"
"detector","33","3839","523"
"detectRUNS","258","47476","23156"
"detrendr","85","27114","4708"
"detzrcr","116","10625","3667"
"devRate","605","20041","8704"
"df2json","4","188","8"
"dfCompare","6","156","22"
"dfexplore","41","881","92"
"dfmeta","2","46","1"
"dfped","6","3911","87"
"dfpk","118","26804","15016"
"dggridR","314","178669","14826"
"DGM","207","5363","2212"
"dgodata","17","518","116"
"DGVM3D","39","6920","3326"
"DHARMa","398","22295","7288"
"diagmeta","44","6852","2374"
"diagonals","176","3776","986"
"DiagrammeR","6436","828166","171879"
"DiagrammeRsvg","41","872","69"
"dials","85","27809","3150"
"DiceKriging","51","2635","120"
"diceR","918","44939","27664"
"dicionariosIBGE","70","4811","1432"
"DidacticBoost","18","1055","11"
"dief","61","17850","15834"
"diffdf","226","24273","9663"
"diffee","20","6508","1833"
"diffeqr","65","2515","555"
"diffeR","14","2723","686"
"diffobj","1377","51732","25373"
"diffpriv","65","19417","2521"
"diffrprojects","160","57389","13764"
"diffrprojectswidget","160","57389","13764"
"diffusion","116","9211","2531"
"DiffusionRgqd","51","26684","6338"
"DiffusionRimp","8","6354","1822"
"DiffusionRjgqd","15","27046","5656"
"diffusr","132","6139","2667"
"digitize","26","1071","278"
"dina","27","3882","2312"
"dint","181","26812","8141"
"dirichletprocess","116","156290","50410"
"discgolf","54","3024","909"
"discord","25","2609","1796"
"discreteRV","102","4383","2382"
"DisImpact","15","2008","715"
"disparityfilter","51","1001","713"
"disposables","42","1266","355"
"dispRity","1188","223519","104662"
"dissever","66","1922","239"
"Distance","221","5618","2046"
"distances","62","11950","1090"
"distcrete","46","4088","2094"
"disto","12","9631","966"
"distreg.vis","312","9306","4668"
"distrom","164","2362","1816"
"distrr","54","13590","995"
"diveMove","296","250777","40025"
"divest","944","89354","31245"
"dlnm","35","11030","3258"
"dlstats","36","2571","156"
"dmai","2","2099","57"
"dml","98","4035","1600"
"dmutate","64","5405","2462"
"DMwR2","30","15681","701"
"dnet","68","21586","4081"
"dng","80","13336","9325"
"DNMF","38","1360","253"
"docker","47","861","130"
"dockerfiler","16","1188","176"
"docopt","174","17246","11574"
"docopulae","75","12169","5487"
"docstring","63","1857","980"
"docuSignr","51","2528","441"
"docxtools","73","15623","8748"
"Dodge","16","1892","461"
"dodgr","578","41933","16381"
"doFuture","376","9198","3851"
"doRNG","73","38926","24443"
"dostats","45","3302","595"
"dotenv","21","632","161"
"downloader","56","901","258"
"downsize","156","7515","2027"
"dpcR","603","42354","22520"
"dplyr","6060","445124","342359"
"dplyrAssist","16","2308","733"
"dqrng","106","10930","4551"
"dqshiny","142","20795","8101"
"dragonking","18","1051","200"
"drake","4757","363278","321491"
"draw","13","2032","142"
"DriftBurstHypothesis","8","1531","224"
"driftR","366","53659","15175"
"DrImpute","22","1188","59"
"droptest","121","6546","1688"
"DRR","39","2277","755"
"drtmle","188","39885","17735"
"DSAIDE","469","175361","111765"
"DSAIRM","274","127103","75138"
"dsm","439","15818","9482"
"dsmodels","68","4192","676"
"dsrTest","39","1675","468"
"DstarM","73","15680","7933"
"DT","807","13499","5702"
"dtables","219","4773","2320"
"DTDA.ni","21","1302","83"
"dtwclust","1481","93308","60879"
"dtwSat","326","123324","110431"
"duawranglr","92","14718","4666"
"dub","127","1922","1004"
"duckduckr","32","585","86"
"DVHmetrics","115","16633","4829"
"dwapi","18","10915","565"
"dygraphs","553","100661","18173"
"dynamac","61","102340","11050"
"dynamichazard","694","114627","66706"
"dynprog","34","8208","1468"
"dynsurv","77","23153","5717"
"dynutils","475","17450","6500"
"eaf","183","151777","3718"
"eAnalytics","118","22612","18051"
"easycsv","68","2843","1093"
"easySVG","19","2413","492"
"EBASS","4","2951","5"
"EbayesThresh","126","7933","4154"
"ebdbNet","6","4268","15"
"ECctmc","53","2858","952"
"ECharts2Shiny","162","37910","22678"
"eChem","10","7899","242"
"echo.find","47","4470","1033"
"echogram","16","2000","306"
"eclust","54","16428","3800"
"ecm","19","1575","299"
"ecmwfr","117","20210","9148"
"eco","696","65388","26840"
"ecoengine","529","99674","40898"
"EcoGenetics","12","59440","27023"
"ECoL","337","1389838","162023"
"ecolottery","514","11354","5168"
"EcoNetGen","120","11143","3818"
"ECOSolveR","23","34668","7128"
"ecr","271","589490","9563"
"eda4treeR","6","10289","558"
"edf","14","686","31"
"edfun","20","1353","74"
"edgarWebR","122","643093","128968"
"edgebundleR","58","5899","665"
"editData","25","2765","630"
"EditImputeCont","6","85438","320"
"editrules","1130","77361","47268"
"EEM","161","6910","1130"
"eemR","263","80399","29479"
"eeptools","204","20803","10674"
"eesim","412","20474","7165"
"EFDR","88","18464","12151"
"EffectLiteR","126","22764","6560"
"EfficientMaxEigenpair","20","6139","1685"
"effsize","53","3777","1835"
"efts","31","5589","1522"
"egor","382","69172","31670"
"egoTERGM","131","7359","1549"
"eigenmodel","3","1449","342"
"eikosograms","87","14248","4700"
"eixport","253","19045","7484"
"elastic","679","68240","19369"
"elasticsearchr","132","8894","4316"
"elementR","230","391018","50546"
"ellipsis","38","892","296"
"elliptic","20","6919","32"
"elmNNRcpp","2","2352","35"
"elo","110","4466","1465"
"EloOptimized","61","10059","3461"
"embed","94","43222","5011"
"EMCluster","52","18492","3278"
"emdi","392","80859","7357"
"emil","129","20739","14454"
"EmissV","423","18763","6446"
"emmeans","165","26041","6636"
"EMMIXmfa","89","13171","1659"
"EMMLi","53","1785","609"
"emojifont","61","8451","3126"
"emov","27","2232","51"
"EmpiricalCalibration","118","16549","4061"
"emulator","30","4031","246"
"emuR","2350","245846","110080"
"enaR","528","417059","94108"
"enc","255","5126","942"
"endorse","38","11739","2502"
"energy","59","15035","1529"
"energyr","50","11628","5627"
"enpls","71","30754","8904"
"enrichwith","156","9919","2368"
"EnsCat","12","900","6"
"ensr","86","8663","3650"
"ensurer","46","3299","732"
"entropart","137","84262","12362"
"envalysis","147","5139","2209"
"EnvCpt","12","3053","1181"
"envDocument","275","5039","1682"
"envnames","51","14111","6482"
"epanet2toolkit","57","27838","244"
"epanetReader","194","48028","2315"
"EpiContactTrace","197","17485","7143"
"epidata","12","5505","305"
"EpiDynamics","16","5517","1285"
"epimdr","72","18560","45"
"EpiModel","1457","60398","25828"
"epiphy","94","70537","21057"
"episheet","46","4874","493"
"epitab","106","3077","1590"
"eplusr","1014","1114129","1926691"
"eply","82","2623","1507"
"epubr","128","11904","3865"
"equate","56","11548","3865"
"erp.easy","4","2111","13"
"err","50","8019","3730"
"errorist","33","1108","146"
"errorizer","33","744","143"
"errorlocate","129","5209","1538"
"errors","133","5107","1609"
"esaddle","22","6354","3431"
