analysis	run_order	Getting Data	Processing Data	Github	Git Analysis	Notes	input	output
julia	3			01-clone_gh_repos.R		"This script downloads the Julia and CDN git repositories.
In an ideal world, this script would’ve downloaded all the github repositories for all the languages in the project,
But towards the end of the project, it was easier to have separate clone scripts for CRAN and PyPI.
There are functions in this script that could be expanded to work with the cran and pypi repositories that would then be moved into the R folder.

Having said that, the relevant part of this script creates the github slug from the julia repositories and then clones the repositories into a specified directory"	'./analysis/01-scrape_package_data/julia/JuliaEcosystem/data/julia.tsv'	'./data/oss2/original/cloned_repos/julia/'
julia	4				01-travis_build_status.R	"Used the github slug to query the Travis API to get the build status of the master branch from Travis.
This was used to determine whether or not a package was “production ready”"	'./analysis/01-scrape_package_data/julia/JuliaEcosystem/data/julia.tsv'	'./data/oss2/processed/julia/pkg_travis_badge.RDS'
	5				02-travis_badge.R	"Takes the travis master branch API response and determines whether the package build status is “pass” or “fail”.
This script just counts the number of “pass” repositories."	'./data/oss2/processed/julia/pkg_travis_badge.RDS'	
julia	6	01-get_licensee.R				Runs the licensee command (from npm) to get the license for each of the Julia package LICENSE files.	'./data/oss2/processed/julia/pkg_travis_badge.RDS'	'./data/oss2/processed/julia/pkg_licensee_detect.RDS'
julia	7		02-parse_licensee.R			"Parses the text from Licensee to get OSI approved licenses.
We stopped the analysis for Julia here because the vast majority of liceses were not able to be detected by Licensee (thus, also on Github).
We get a “License: NOASSERTION” response from licensee.
Most of the licenses are OSI approved, but because the text of the license file was altered, licensee was unable to assign the correct license to the repository.
We end up with only 418 OSI approved licenses, which is incorrect.

We used licensee here because it is the same program/software Github uses to determine what license a repository is using.
Spot checking the NOASSERTION results on Github also show no license tagged in the repository.
Because trying to write a heuristic to “fix” licensee would mean “doing better than Github” we opted not to include Julia for the LOC analysis so far.

One way might be to do a simple string match on the license file (e.g., does the string MIT exist in this file? Or does MIT exist as a word in this file).

This script is not very “clean” it has a lot of exploratory work in it. Since we were still trying to figure out how to continue with the Julia ecosystem."	'./data/oss2/processed/julia/pkg_licensee_detect.RDS'	
cdn	1	01-get_pkg_json_info.R				"Gets all the libraries listed from cdn.js using the API.
Saves the GET response as a json file"		'./data/oss2/original/cdn/libraries_json/'
cdn	2		01-cdn_pkg_info.R			"Converts the JSON response into a dataframe.
Takes the first listed license for each package, and looks into the (older) license file to see if a package has an OSI approved license.

The license file used to determine whether a package is an OSI approved package uses an older license file used from Summer 2018.
If you are re-doing this analysis, you should use the one stated in the script as a comment.
The license file generated from './analysis/osi_licenses/create_master_osi_approved.R'.
This is the same license file used for the CRAN and PyPI analysis.
Any “missing” licenses should be programmatically added using that script."	"'./data/oss2/original/cdn/libraries_json/',
'./data/oss/final/PyPI/osi_approved_licenses.csv'"	'./data/oss2/processed/cdn/cdn_with_license.csv'
cdn	3		02-filter_osi.R			"Uses the older license dataset to filter packages that were OSI approved.
Please see note(s) above about the “older” license file.

This script filters cdn libraries where osi_approved is TRUE."	"'./data/oss2/processed/cdn/cdn_with_license.csv',
'./data/oss/final/PyPI/osi_approved_licenses.csv'"	'./data/oss2/processed/cdn/cdn_osi.csv'
cdn	4		03-github_slugs.R			Uses the repository.url value to parse the github slug	'./data/oss2/processed/cdn/cdn_osi.csv'	'./data/oss2/processed/cdn/cdn_gh_slugs.csv'
cdn	5			01-clone_gh_repos.R		"This script is the same script used in the Julia analysis to download the github repositories.
See the notes in the Julia script for more information.

Essentially this script clones the cdn repositories that have a github url into a specified directory"	'./data/oss2/processed/cdn/cdn_gh_slugs.csv'	'./data/oss2/original/cloned_repos/cdn/'
cdn	6				travis.R	"The students over the Summer 2018 skipped all checks for “production ready” and assumed that all packages were already production ready.
There is no standarized way to look for production ready packages in CDN when this analysis was done.
One thought was to look at the Travis status for the github packages (like what we did for Julia).
This script aimes to get information using travis.
But we abandoned this because so many of the packages were lost because they did not use Travis for CI.
This is why cdn was also dropped from the LOC analysis."	'./data/oss2/original/cloned_repos/cdn'	
